Datum,Dag,Skift,Starttid,Sluttid,Skifttyp,Helg
2024-05-06,måndag,N,22:00,06:00,Natt,false
2024-05-07,tisdag,N,22:00,06:00,Natt,false
2024-05-08,onsdag,N,22:00,06:00,Natt,false
2024-05-09,torsdag,L,,,Ledig,false
2024-05-10,fredag,L,,,Ledig,false
2024-05-11,lördag,L,,,Ledig,true
2024-05-12,söndag,L,,,Ledig,true
2024-05-13,måndag,L,,,Ledig,false
2024-05-14,tisdag,M,06:00,14:00,Morgon,false
2024-05-15,onsdag,M,06:00,14:00,Morgon,false
2024-05-16,torsdag,M,06:00,14:00,Morgon,false
2024-05-17,fredag,A,14:00,22:00,Kväll,false
2024-05-18,lördag,A,14:00,22:00,Kväll,true
2024-05-19,söndag,A,14:00,22:00,Kväll,true
2024-05-20,måndag,N,22:00,06:00,Natt,false
2024-05-21,tisdag,N,22:00,06:00,Natt,false
2024-05-22,onsdag,N,22:00,06:00,Natt,false
2024-05-23,torsdag,L,,,Ledig,false
2024-05-24,fredag,L,,,Ledig,false
2024-05-25,lördag,L,,,Ledig,true
2024-05-26,söndag,L,,,Ledig,true
2024-05-27,måndag,L,,,Ledig,false
2024-05-28,tisdag,M,06:00,14:00,Morgon,false
2024-05-29,onsdag,M,06:00,14:00,Morgon,false
2024-05-30,torsdag,M,06:00,14:00,Morgon,false
2024-05-31,fredag,A,14:00,22:00,Kväll,false
2024-06-01,lördag,A,14:00,22:00,Kväll,true
2024-06-02,söndag,A,14:00,22:00,Kväll,true
2024-06-03,måndag,N,22:00,06:00,Natt,false
2024-06-04,tisdag,N,22:00,06:00,Natt,false
2024-06-05,onsdag,N,22:00,06:00,Natt,false
2024-06-06,torsdag,L,,,Ledig,false
2024-06-07,fredag,L,,,Ledig,false
2024-06-08,lördag,L,,,Ledig,true
2024-06-09,söndag,L,,,Ledig,true
2024-06-10,måndag,L,,,Ledig,false
2024-06-11,tisdag,M,06:00,14:00,Morgon,false
2024-06-12,onsdag,M,06:00,14:00,Morgon,false
2024-06-13,torsdag,M,06:00,14:00,Morgon,false
2024-06-14,fredag,A,14:00,22:00,Kväll,false
2024-06-15,lördag,A,14:00,22:00,Kväll,true
2024-06-16,söndag,A,14:00,22:00,Kväll,true
2024-06-17,måndag,N,22:00,06:00,Natt,false
2024-06-18,tisdag,N,22:00,06:00,Natt,false
2024-06-19,onsdag,N,22:00,06:00,Natt,false
2024-06-20,torsdag,L,,,Ledig,false
2024-06-21,fredag,L,,,Ledig,false
2024-06-22,lördag,L,,,Ledig,true
2024-06-23,söndag,L,,,Ledig,true
2024-06-24,måndag,L,,,Ledig,false
2024-06-25,tisdag,M,06:00,14:00,Morgon,false
2024-06-26,onsdag,M,06:00,14:00,Morgon,false
2024-06-27,torsdag,M,06:00,14:00,Morgon,false
2024-06-28,fredag,A,14:00,22:00,Kväll,false
2024-06-29,lördag,A,14:00,22:00,Kväll,true
2024-06-30,söndag,A,14:00,22:00,Kväll,true
2024-07-01,måndag,N,22:00,06:00,Natt,false
2024-07-02,tisdag,N,22:00,06:00,Natt,false
2024-07-03,onsdag,N,22:00,06:00,Natt,false
2024-07-04,torsdag,L,,,Ledig,false
2024-07-05,fredag,L,,,Ledig,false
2024-07-06,lördag,L,,,Ledig,true
2024-07-07,söndag,L,,,Ledig,true
2024-07-08,måndag,L,,,Ledig,false
2024-07-09,tisdag,M,06:00,14:00,Morgon,false
2024-07-10,onsdag,M,06:00,14:00,Morgon,false
2024-07-11,torsdag,M,06:00,14:00,Morgon,false
2024-07-12,fredag,A,14:00,22:00,Kväll,false
2024-07-13,lördag,A,14:00,22:00,Kväll,true
2024-07-14,söndag,A,14:00,22:00,Kväll,true
2024-07-15,måndag,N,22:00,06:00,Natt,false
2024-07-16,tisdag,N,22:00,06:00,Natt,false
2024-07-17,onsdag,N,22:00,06:00,Natt,false
2024-07-18,torsdag,L,,,Ledig,false
2024-07-19,fredag,L,,,Ledig,false
2024-07-20,lördag,L,,,Ledig,true
2024-07-21,söndag,L,,,Ledig,true
2024-07-22,måndag,L,,,Ledig,false
2024-07-23,tisdag,M,06:00,14:00,Morgon,false
2024-07-24,onsdag,M,06:00,14:00,Morgon,false
2024-07-25,torsdag,M,06:00,14:00,Morgon,false
2024-07-26,fredag,A,14:00,22:00,Kväll,false
2024-07-27,lördag,A,14:00,22:00,Kväll,true
2024-07-28,söndag,A,14:00,22:00,Kväll,true
2024-07-29,måndag,N,22:00,06:00,Natt,false
2024-07-30,tisdag,N,22:00,06:00,Natt,false
2024-07-31,onsdag,N,22:00,06:00,Natt,false
2024-08-01,torsdag,L,,,Ledig,false
2024-08-02,fredag,L,,,Ledig,false
2024-08-03,lördag,L,,,Ledig,true
2024-08-04,söndag,L,,,Ledig,true
2024-08-05,måndag,L,,,Ledig,false
2024-08-06,tisdag,M,06:00,14:00,Morgon,false
2024-08-07,onsdag,M,06:00,14:00,Morgon,false
2024-08-08,torsdag,M,06:00,14:00,Morgon,false
2024-08-09,fredag,A,14:00,22:00,Kväll,false
2024-08-10,lördag,A,14:00,22:00,Kväll,true
2024-08-11,söndag,A,14:00,22:00,Kväll,true
2024-08-12,måndag,N,22:00,06:00,Natt,false
2024-08-13,tisdag,N,22:00,06:00,Natt,false
2024-08-14,onsdag,N,22:00,06:00,Natt,false
2024-08-15,torsdag,L,,,Ledig,false
2024-08-16,fredag,L,,,Ledig,false
2024-08-17,lördag,L,,,Ledig,true
2024-08-18,söndag,L,,,Ledig,true
2024-08-19,måndag,L,,,Ledig,false
2024-08-20,tisdag,M,06:00,14:00,Morgon,false
2024-08-21,onsdag,M,06:00,14:00,Morgon,false
2024-08-22,torsdag,M,06:00,14:00,Morgon,false
2024-08-23,fredag,A,14:00,22:00,Kväll,false
2024-08-24,lördag,A,14:00,22:00,Kväll,true
2024-08-25,söndag,A,14:00,22:00,Kväll,true
2024-08-26,måndag,N,22:00,06:00,Natt,false
2024-08-27,tisdag,N,22:00,06:00,Natt,false
2024-08-28,onsdag,N,22:00,06:00,Natt,false
2024-08-29,torsdag,L,,,Ledig,false
2024-08-30,fredag,L,,,Ledig,false
2024-08-31,lördag,L,,,Ledig,true
2024-09-01,söndag,L,,,Ledig,true
2024-09-02,måndag,L,,,Ledig,false
2024-09-03,tisdag,M,06:00,14:00,Morgon,false
2024-09-04,onsdag,M,06:00,14:00,Morgon,false
2024-09-05,torsdag,M,06:00,14:00,Morgon,false
2024-09-06,fredag,A,14:00,22:00,Kväll,false
2024-09-07,lördag,A,14:00,22:00,Kväll,true
2024-09-08,söndag,A,14:00,22:00,Kväll,true
2024-09-09,måndag,N,22:00,06:00,Natt,false
2024-09-10,tisdag,N,22:00,06:00,Natt,false
2024-09-11,onsdag,N,22:00,06:00,Natt,false
2024-09-12,torsdag,L,,,Ledig,false
2024-09-13,fredag,L,,,Ledig,false
2024-09-14,lördag,L,,,Ledig,true
2024-09-15,söndag,L,,,Ledig,true
2024-09-16,måndag,L,,,Ledig,false
2024-09-17,tisdag,M,06:00,14:00,Morgon,false
2024-09-18,onsdag,M,06:00,14:00,Morgon,false
2024-09-19,torsdag,M,06:00,14:00,Morgon,false
2024-09-20,fredag,A,14:00,22:00,Kväll,false
2024-09-21,lördag,A,14:00,22:00,Kväll,true
2024-09-22,söndag,A,14:00,22:00,Kväll,true
2024-09-23,måndag,N,22:00,06:00,Natt,false
2024-09-24,tisdag,N,22:00,06:00,Natt,false
2024-09-25,onsdag,N,22:00,06:00,Natt,false
2024-09-26,torsdag,L,,,Ledig,false
2024-09-27,fredag,L,,,Ledig,false
2024-09-28,lördag,L,,,Ledig,true
2024-09-29,söndag,L,,,Ledig,true
2024-09-30,måndag,L,,,Ledig,false
2024-10-01,tisdag,M,06:00,14:00,Morgon,false
2024-10-02,onsdag,M,06:00,14:00,Morgon,false
2024-10-03,torsdag,M,06:00,14:00,Morgon,false
2024-10-04,fredag,A,14:00,22:00,Kväll,false
2024-10-05,lördag,A,14:00,22:00,Kväll,true
2024-10-06,söndag,A,14:00,22:00,Kväll,true
2024-10-07,måndag,N,22:00,06:00,Natt,false
2024-10-08,tisdag,N,22:00,06:00,Natt,false
2024-10-09,onsdag,N,22:00,06:00,Natt,false
2024-10-10,torsdag,L,,,Ledig,false
2024-10-11,fredag,L,,,Ledig,false
2024-10-12,lördag,L,,,Ledig,true
2024-10-13,söndag,L,,,Ledig,true
2024-10-14,måndag,L,,,Ledig,false
2024-10-15,tisdag,M,06:00,14:00,Morgon,false
2024-10-16,onsdag,M,06:00,14:00,Morgon,false
2024-10-17,torsdag,M,06:00,14:00,Morgon,false
2024-10-18,fredag,A,14:00,22:00,Kväll,false
2024-10-19,lördag,A,14:00,22:00,Kväll,true
2024-10-20,söndag,A,14:00,22:00,Kväll,true
2024-10-21,måndag,N,22:00,06:00,Natt,false
2024-10-22,tisdag,N,22:00,06:00,Natt,false
2024-10-23,onsdag,N,22:00,06:00,Natt,false
2024-10-24,torsdag,L,,,Ledig,false
2024-10-25,fredag,L,,,Ledig,false
2024-10-26,lördag,L,,,Ledig,true
2024-10-27,söndag,L,,,Ledig,true
2024-10-28,måndag,L,,,Ledig,false
2024-10-29,tisdag,M,06:00,14:00,Morgon,false
2024-10-30,onsdag,M,06:00,14:00,Morgon,false
2024-10-31,torsdag,M,06:00,14:00,Morgon,false
2024-11-01,fredag,A,14:00,22:00,Kväll,false
2024-11-02,lördag,A,14:00,22:00,Kväll,true
2024-11-03,söndag,A,14:00,22:00,Kväll,true
2024-11-04,måndag,N,22:00,06:00,Natt,false
2024-11-05,tisdag,N,22:00,06:00,Natt,false
2024-11-06,onsdag,N,22:00,06:00,Natt,false
2024-11-07,torsdag,L,,,Ledig,false
2024-11-08,fredag,L,,,Ledig,false
2024-11-09,lördag,L,,,Ledig,true
2024-11-10,söndag,L,,,Ledig,true
2024-11-11,måndag,L,,,Ledig,false
2024-11-12,tisdag,M,06:00,14:00,Morgon,false
2024-11-13,onsdag,M,06:00,14:00,Morgon,false
2024-11-14,torsdag,M,06:00,14:00,Morgon,false
2024-11-15,fredag,A,14:00,22:00,Kväll,false
2024-11-16,lördag,A,14:00,22:00,Kväll,true
2024-11-17,söndag,A,14:00,22:00,Kväll,true
2024-11-18,måndag,N,22:00,06:00,Natt,false
2024-11-19,tisdag,N,22:00,06:00,Natt,false
2024-11-20,onsdag,N,22:00,06:00,Natt,false
2024-11-21,torsdag,L,,,Ledig,false
2024-11-22,fredag,L,,,Ledig,false
2024-11-23,lördag,L,,,Ledig,true
2024-11-24,söndag,L,,,Ledig,true
2024-11-25,måndag,L,,,Ledig,false
2024-11-26,tisdag,M,06:00,14:00,Morgon,false
2024-11-27,onsdag,M,06:00,14:00,Morgon,false
2024-11-28,torsdag,M,06:00,14:00,Morgon,false
2024-11-29,fredag,A,14:00,22:00,Kväll,false
2024-11-30,lördag,A,14:00,22:00,Kväll,true
2024-12-01,söndag,A,14:00,22:00,Kväll,true
2024-12-02,måndag,N,22:00,06:00,Natt,false
2024-12-03,tisdag,N,22:00,06:00,Natt,false
2024-12-04,onsdag,N,22:00,06:00,Natt,false
2024-12-05,torsdag,L,,,Ledig,false
2024-12-06,fredag,L,,,Ledig,false
2024-12-07,lördag,L,,,Ledig,true
2024-12-08,söndag,L,,,Ledig,true
2024-12-09,måndag,L,,,Ledig,false
2024-12-10,tisdag,M,06:00,14:00,Morgon,false
2024-12-11,onsdag,M,06:00,14:00,Morgon,false
2024-12-12,torsdag,M,06:00,14:00,Morgon,false
2024-12-13,fredag,A,14:00,22:00,Kväll,false
2024-12-14,lördag,A,14:00,22:00,Kväll,true
2024-12-15,söndag,A,14:00,22:00,Kväll,true
2024-12-16,måndag,N,22:00,06:00,Natt,false
2024-12-17,tisdag,N,22:00,06:00,Natt,false
2024-12-18,onsdag,N,22:00,06:00,Natt,false
2024-12-19,torsdag,L,,,Ledig,false
2024-12-20,fredag,L,,,Ledig,false
2024-12-21,lördag,L,,,Ledig,true
2024-12-22,söndag,L,,,Ledig,true
2024-12-23,måndag,L,,,Ledig,false
2024-12-24,tisdag,M,06:00,14:00,Morgon,false
2024-12-25,onsdag,M,06:00,14:00,Morgon,false
2024-12-26,torsdag,M,06:00,14:00,Morgon,false
2024-12-27,fredag,A,14:00,22:00,Kväll,false
2024-12-28,lördag,A,14:00,22:00,Kväll,true
2024-12-29,söndag,A,14:00,22:00,Kväll,true
2024-12-30,måndag,N,22:00,06:00,Natt,false
2024-12-31,tisdag,N,22:00,06:00,Natt,false
