Datum,Dag,Skift,Starttid,Sluttid,Skifttyp,Helg
2024-07-05,fredag,A,14:00,22:00,Kväll,false
2024-07-06,lördag,A,14:00,22:00,Kväll,true
2024-07-07,söndag,N,22:00,06:00,Natt,true
2024-07-08,måndag,N,22:00,06:00,Natt,false
2024-07-09,tisdag,N,22:00,06:00,Natt,false
2024-07-10,onsdag,L,,,Ledig,false
2024-07-11,torsdag,L,,,Ledig,false
2024-07-12,fredag,L,,,Ledig,false
2024-07-13,lördag,L,,,Ledig,true
2024-07-14,söndag,L,,,Ledig,true
2024-07-15,måndag,M,06:00,14:00,Morgon,false
2024-07-16,tisdag,M,06:00,14:00,Morgon,false
2024-07-17,onsdag,M,06:00,14:00,Morgon,false
2024-07-18,torsdag,A,14:00,22:00,Kväll,false
2024-07-19,fredag,A,14:00,22:00,Kväll,false
2024-07-20,lördag,A,14:00,22:00,Kväll,true
2024-07-21,söndag,N,22:00,06:00,Natt,true
2024-07-22,måndag,N,22:00,06:00,Natt,false
2024-07-23,tisdag,N,22:00,06:00,Natt,false
2024-07-24,onsdag,L,,,Ledig,false
2024-07-25,torsdag,L,,,Ledig,false
2024-07-26,fredag,L,,,Ledig,false
2024-07-27,lördag,L,,,Ledig,true
2024-07-28,söndag,L,,,Ledig,true
2024-07-29,måndag,M,06:00,14:00,Morgon,false
2024-07-30,tisdag,M,06:00,14:00,Morgon,false
2024-07-31,onsdag,M,06:00,14:00,Morgon,false
2024-08-01,torsdag,A,14:00,22:00,Kväll,false
2024-08-02,fredag,A,14:00,22:00,Kväll,false
2024-08-03,lördag,A,14:00,22:00,Kväll,true
2024-08-04,söndag,N,22:00,06:00,Natt,true
2024-08-05,måndag,N,22:00,06:00,Natt,false
2024-08-06,tisdag,N,22:00,06:00,Natt,false
2024-08-07,onsdag,L,,,Ledig,false
2024-08-08,torsdag,L,,,Ledig,false
2024-08-09,fredag,L,,,Ledig,false
2024-08-10,lördag,L,,,Ledig,true
2024-08-11,söndag,L,,,Ledig,true
2024-08-12,måndag,M,06:00,14:00,Morgon,false
2024-08-13,tisdag,M,06:00,14:00,Morgon,false
2024-08-14,onsdag,M,06:00,14:00,Morgon,false
2024-08-15,torsdag,A,14:00,22:00,Kväll,false
2024-08-16,fredag,A,14:00,22:00,Kväll,false
2024-08-17,lördag,A,14:00,22:00,Kväll,true
2024-08-18,söndag,N,22:00,06:00,Natt,true
2024-08-19,måndag,N,22:00,06:00,Natt,false
2024-08-20,tisdag,N,22:00,06:00,Natt,false
2024-08-21,onsdag,L,,,Ledig,false
2024-08-22,torsdag,L,,,Ledig,false
2024-08-23,fredag,L,,,Ledig,false
2024-08-24,lördag,L,,,Ledig,true
2024-08-25,söndag,L,,,Ledig,true
2024-08-26,måndag,M,06:00,14:00,Morgon,false
2024-08-27,tisdag,M,06:00,14:00,Morgon,false
2024-08-28,onsdag,M,06:00,14:00,Morgon,false
2024-08-29,torsdag,A,14:00,22:00,Kväll,false
2024-08-30,fredag,A,14:00,22:00,Kväll,false
2024-08-31,lördag,A,14:00,22:00,Kväll,true
2024-09-01,söndag,N,22:00,06:00,Natt,true
2024-09-02,måndag,N,22:00,06:00,Natt,false
2024-09-03,tisdag,N,22:00,06:00,Natt,false
2024-09-04,onsdag,L,,,Ledig,false
2024-09-05,torsdag,L,,,Ledig,false
2024-09-06,fredag,L,,,Ledig,false
2024-09-07,lördag,L,,,Ledig,true
2024-09-08,söndag,L,,,Ledig,true
2024-09-09,måndag,M,06:00,14:00,Morgon,false
2024-09-10,tisdag,M,06:00,14:00,Morgon,false
2024-09-11,onsdag,M,06:00,14:00,Morgon,false
2024-09-12,torsdag,A,14:00,22:00,Kväll,false
2024-09-13,fredag,A,14:00,22:00,Kväll,false
2024-09-14,lördag,A,14:00,22:00,Kväll,true
2024-09-15,söndag,N,22:00,06:00,Natt,true
2024-09-16,måndag,N,22:00,06:00,Natt,false
2024-09-17,tisdag,N,22:00,06:00,Natt,false
2024-09-18,onsdag,L,,,Ledig,false
2024-09-19,torsdag,L,,,Ledig,false
2024-09-20,fredag,L,,,Ledig,false
2024-09-21,lördag,L,,,Ledig,true
2024-09-22,söndag,L,,,Ledig,true
2024-09-23,måndag,M,06:00,14:00,Morgon,false
2024-09-24,tisdag,M,06:00,14:00,Morgon,false
2024-09-25,onsdag,M,06:00,14:00,Morgon,false
2024-09-26,torsdag,A,14:00,22:00,Kväll,false
2024-09-27,fredag,A,14:00,22:00,Kväll,false
2024-09-28,lördag,A,14:00,22:00,Kväll,true
2024-09-29,söndag,N,22:00,06:00,Natt,true
2024-09-30,måndag,N,22:00,06:00,Natt,false
2024-10-01,tisdag,N,22:00,06:00,Natt,false
2024-10-02,onsdag,L,,,Ledig,false
2024-10-03,torsdag,L,,,Ledig,false
2024-10-04,fredag,L,,,Ledig,false
2024-10-05,lördag,L,,,Ledig,true
2024-10-06,söndag,L,,,Ledig,true
2024-10-07,måndag,M,06:00,14:00,Morgon,false
2024-10-08,tisdag,M,06:00,14:00,Morgon,false
2024-10-09,onsdag,M,06:00,14:00,Morgon,false
2024-10-10,torsdag,A,14:00,22:00,Kväll,false
2024-10-11,fredag,A,14:00,22:00,Kväll,false
2024-10-12,lördag,A,14:00,22:00,Kväll,true
2024-10-13,söndag,N,22:00,06:00,Natt,true
2024-10-14,måndag,N,22:00,06:00,Natt,false
2024-10-15,tisdag,N,22:00,06:00,Natt,false
2024-10-16,onsdag,L,,,Ledig,false
2024-10-17,torsdag,L,,,Ledig,false
2024-10-18,fredag,L,,,Ledig,false
2024-10-19,lördag,L,,,Ledig,true
2024-10-20,söndag,L,,,Ledig,true
2024-10-21,måndag,M,06:00,14:00,Morgon,false
2024-10-22,tisdag,M,06:00,14:00,Morgon,false
2024-10-23,onsdag,M,06:00,14:00,Morgon,false
2024-10-24,torsdag,A,14:00,22:00,Kväll,false
2024-10-25,fredag,A,14:00,22:00,Kväll,false
2024-10-26,lördag,A,14:00,22:00,Kväll,true
2024-10-27,söndag,N,22:00,06:00,Natt,true
2024-10-28,måndag,N,22:00,06:00,Natt,false
2024-10-29,tisdag,N,22:00,06:00,Natt,false
2024-10-30,onsdag,L,,,Ledig,false
2024-10-31,torsdag,L,,,Ledig,false
2024-11-01,fredag,L,,,Ledig,false
2024-11-02,lördag,L,,,Ledig,true
2024-11-03,söndag,L,,,Ledig,true
2024-11-04,måndag,M,06:00,14:00,Morgon,false
2024-11-05,tisdag,M,06:00,14:00,Morgon,false
2024-11-06,onsdag,M,06:00,14:00,Morgon,false
2024-11-07,torsdag,A,14:00,22:00,Kväll,false
2024-11-08,fredag,A,14:00,22:00,Kväll,false
2024-11-09,lördag,A,14:00,22:00,Kväll,true
2024-11-10,söndag,N,22:00,06:00,Natt,true
2024-11-11,måndag,N,22:00,06:00,Natt,false
2024-11-12,tisdag,N,22:00,06:00,Natt,false
2024-11-13,onsdag,L,,,Ledig,false
2024-11-14,torsdag,L,,,Ledig,false
2024-11-15,fredag,L,,,Ledig,false
2024-11-16,lördag,L,,,Ledig,true
2024-11-17,söndag,L,,,Ledig,true
2024-11-18,måndag,M,06:00,14:00,Morgon,false
2024-11-19,tisdag,M,06:00,14:00,Morgon,false
2024-11-20,onsdag,M,06:00,14:00,Morgon,false
2024-11-21,torsdag,A,14:00,22:00,Kväll,false
2024-11-22,fredag,A,14:00,22:00,Kväll,false
2024-11-23,lördag,A,14:00,22:00,Kväll,true
2024-11-24,söndag,N,22:00,06:00,Natt,true
2024-11-25,måndag,N,22:00,06:00,Natt,false
2024-11-26,tisdag,N,22:00,06:00,Natt,false
2024-11-27,onsdag,L,,,Ledig,false
2024-11-28,torsdag,L,,,Ledig,false
2024-11-29,fredag,L,,,Ledig,false
2024-11-30,lördag,L,,,Ledig,true
2024-12-01,söndag,L,,,Ledig,true
2024-12-02,måndag,M,06:00,14:00,Morgon,false
2024-12-03,tisdag,M,06:00,14:00,Morgon,false
2024-12-04,onsdag,M,06:00,14:00,Morgon,false
2024-12-05,torsdag,A,14:00,22:00,Kväll,false
2024-12-06,fredag,A,14:00,22:00,Kväll,false
2024-12-07,lördag,A,14:00,22:00,Kväll,true
2024-12-08,söndag,N,22:00,06:00,Natt,true
2024-12-09,måndag,N,22:00,06:00,Natt,false
2024-12-10,tisdag,N,22:00,06:00,Natt,false
2024-12-11,onsdag,L,,,Ledig,false
2024-12-12,torsdag,L,,,Ledig,false
2024-12-13,fredag,L,,,Ledig,false
2024-12-14,lördag,L,,,Ledig,true
2024-12-15,söndag,L,,,Ledig,true
2024-12-16,måndag,M,06:00,14:00,Morgon,false
2024-12-17,tisdag,M,06:00,14:00,Morgon,false
2024-12-18,onsdag,M,06:00,14:00,Morgon,false
2024-12-19,torsdag,A,14:00,22:00,Kväll,false
2024-12-20,fredag,A,14:00,22:00,Kväll,false
2024-12-21,lördag,A,14:00,22:00,Kväll,true
2024-12-22,söndag,N,22:00,06:00,Natt,true
2024-12-23,måndag,N,22:00,06:00,Natt,false
2024-12-24,tisdag,N,22:00,06:00,Natt,false
2024-12-25,onsdag,L,,,Ledig,false
2024-12-26,torsdag,L,,,Ledig,false
2024-12-27,fredag,L,,,Ledig,false
2024-12-28,lördag,L,,,Ledig,true
2024-12-29,söndag,L,,,Ledig,true
2024-12-30,måndag,M,06:00,14:00,Morgon,false
2024-12-31,tisdag,M,06:00,14:00,Morgon,false
